branches,cache_misses,cache_references,instructions
4627,675,14,22350
26906,7977,343,120413
25003,3250,462,109774
23687,2853,340,103874
23248,5385,177,106403
24889,5124,99,105007
13324,4928,80,52574
23507,2005,362,103389
27344,1588,425,120583
22387,4689,227,98720
20002,3159,697,89871
20418,4889,499,87847
26327,4748,141,119895
23455,5543,130,103905
9167,3688,169,35905
18674,1977,583,83105
26871,3524,787,81445
34027,3270,60,113203
26567,1590,360,112677
23909,1826,393,102159
22253,3893,331,89387
22277,4803,192,101680
8282,1676,73,24514
22050,5207,289,96200
16396,3483,302,73745
24741,3186,318,102053
23705,2902,686,87640
31713,2550,333,118948
31418,1690,146,134997
37210,3023,252,164148
22452,4562,451,87552
26549,1906,477,110990
28559,2795,199,108808
32492,3426,198,120018
20400,3909,223,89393
37482,3002,330,172053
18936,5428,769,81315
44073,3410,4,195702
23755,4975,489,98919
31055,2924,313,118485
37595,3171,320,158294
38616,5785,75,172140
46217,6258,64,202068
28235,4779,440,114999
18209,4773,536,78144
17917,5340,443,78630
14636,4343,572,67195
24368,4615,288,111914
20497,4977,440,89826
11994,3595,596,54457
20034,2634,450,85306
20069,4669,371,77716
20895,5808,263,92199
25988,4820,53,111770
13646,4545,96,57128
24351,2722,380,107900
33933,2572,178,152424
24734,4414,334,94668
21594,3974,419,102051
36109,2721,70,163107
27496,4102,261,125442
26617,3519,338,109747
22335,3728,382,96684
27727,4499,255,116854
19909,4917,502,92331
9705,1321,19,40003
33234,3893,94,148677
26080,4505,201,114815
31716,4302,125,138371
17144,4192,878,76626
15132,2030,829,58240
19541,3427,1594,80653
20664,3633,846,82222
18095,3573,1257,57234
30700,3371,365,100208
27657,3130,220,93883
27067,3009,449,118437
33663,2328,147,152962
31125,1710,106,138957
41440,733,89,181147
32222,2166,125,111308
24858,4121,623,91002
18031,4071,734,81991
15721,3764,581,64408
19737,1997,516,78605
19538,4371,639,79832
30510,3033,276,108382
23118,4178,189,88310
14723,1613,151,59386
22764,4409,303,94527
27240,4553,213,103691
21465,2832,96,85933
29018,4414,121,112684
24801,3121,84,94418
21785,2089,118,87390
25620,4178,118,107640
26317,4462,90,98069
27050,3962,64,109396
32249,4220,195,124948
28049,3310,132,114647
32141,4802,103,122706
31247,3134,137,122702
31543,3978,50,128635
30886,4206,131,116989
29591,3746,65,121275
24228,2743,195,89109
28433,3464,418,107114
26162,4702,469,118625
15147,4077,502,59499
36145,2687,350,135734
30227,4618,460,121780
28604,4665,298,121108
28656,3473,342,109294
22686,4383,891,84965
12555,4399,1008,56063
19272,4947,842,88007
19298,5225,587,78988
12213,4317,512,52533
1868,1518,235,8660
20707,2630,950,94647
25575,1534,564,111776
22762,1434,486,94962
23756,1186,399,99691
25699,1298,375,108616
13950,2043,921,54856
26994,3587,959,82141
32213,3775,46,111657
24590,1701,438,102398
24879,1084,317,102466
24710,1618,385,111980
15896,5650,998,59517
17463,3406,1064,78887
9651,2587,1256,46830
15750,5574,851,69249
18957,4016,712,85316
22288,4703,515,96245
11162,3749,338,43867
7965,2586,469,34822
26,15,2,14
20,4,2,16
20,4,2,16
2934,1943,1724,21523
20264,4579,1816,69291
22458,2580,408,81466
24872,1187,471,103643
24889,1351,338,105573
17715,4482,967,68028
28358,2505,477,101489
22586,5339,677,87824
19724,4399,501,90377
22894,4561,480,95690
9539,3518,321,36370
19406,3198,614,88162
26406,1294,240,114917
25433,1339,276,114231
20951,2904,918,70286
35126,2899,63,119171
22296,3917,461,86730
22176,5132,333,101287
25096,5054,214,107890
13641,4775,215,56052
23955,1420,243,105100
25844,3377,402,109577
27440,3146,263,104445
23115,4297,474,91837
26815,2796,580,97860
27624,3818,274,100466
30468,2962,143,113455
27177,4258,241,97979
20029,4930,266,92355
23815,4751,169,104680
13792,4503,161,58399
20687,2573,354,93010
23671,1175,251,102246
16549,5618,522,74488
24301,4521,264,94467
21401,4200,675,83686
18061,4394,805,85383
31106,2213,305,146806
32373,3212,455,147695
38899,2221,169,173476
31765,3154,225,141249
49005,1422,35,233168
37780,2727,102,176548
34812,3616,56,151678
47397,1634,45,215851
49998,921,20,230516
27772,3824,457,112078
26343,3484,400,116521
29466,3825,323,127202
40410,3368,32,173735
25684,4830,326,101179
21576,5164,312,80147
19571,4525,402,89529
25093,5449,357,106947
7231,2564,215,24244
11409,3379,572,54301
23477,1403,451,101078
22366,1209,427,93596
21525,1234,425,92445
19792,1778,807,81901
25786,3297,728,82594
31049,3049,167,109595
25475,1300,353,109970
19917,4318,687,81595
33614,2489,222,120951
30336,2792,210,112765
30376,2628,320,108641
27900,3059,179,106294
32104,3265,146,116168
19317,5922,793,78362
20804,4503,651,85575
36179,2585,122,130772
27648,3339,292,98700
31728,3354,328,115995
30665,2281,232,111505
32302,2255,168,112653
25738,3530,253,97446
33564,2888,327,119574
28348,2848,224,106064
16330,4774,687,71199
18435,4595,344,76244
24241,4900,443,94779
18867,4025,570,83873
34273,4208,86,151244
22597,4757,451,92114
9322,3658,366,39583
11296,3590,664,53653
26777,1178,434,116896
24766,963,474,110840
22498,838,318,96713
15005,1123,484,62905
25234,4043,897,79909
30781,4335,36,107142
19427,1395,407,84808
25541,1360,488,114647
7345,596,17,16102
19601,5495,969,69202
32019,2455,244,112869
33475,3219,184,121409
28325,1558,95,120238
46844,912,127,210725
40911,1947,179,180465
43364,1741,87,189185
32279,2730,189,121741
44831,1415,120,193440
41321,3950,108,160784
49688,833,103,216779
50612,3364,100,192554
29387,2972,172,116448
12323,4390,844,55239
22702,4164,241,105109
20207,4917,519,89176
11412,4046,544,49937
23050,5082,190,106024
22718,5276,845,98071
895,648,190,2357
8895,1286,872,47833
19437,2954,791,81315
19529,4710,674,79472
19257,5724,816,81298
13524,2206,1182,53121
12904,4159,1778,54422
17075,4258,1438,63770
18551,5770,662,83104
9899,4174,606,42139
14005,5019,901,65411
20955,5612,483,84705
11563,4760,661,44806
24157,1755,604,115342
21875,4994,416,89948
25795,6023,158,115396
24327,5691,107,106486
10662,3647,246,48859
28493,1251,437,127323
16658,1282,600,67950
26276,3180,713,88747
30060,2773,158,109498
23098,1042,281,100915
8804,1668,81,21526
15043,5182,442,68166
27484,4668,183,124018
6192,2632,1043,22911
1448,741,316,6940
667,319,36,2727
9213,1256,702,49991
7801,1015,504,39238
13347,887,473,76029
9840,1804,721,50995
22215,2310,715,88318
29130,2445,500,112625
26986,2261,643,99530
17407,5165,1097,76462
33998,2876,368,123794
34937,4018,362,132849
43710,5052,258,165806
51627,4054,99,190286
55947,4220,100,206905
53637,4521,99,199522
43763,4481,107,166061
49214,4480,110,179131
45728,5703,130,173523
47197,4476,116,172549
45213,4743,221,167582
31800,2623,207,111102
26949,4492,479,104757
37032,3746,249,144323
36394,4489,119,137114
35571,5073,250,133860
13897,5200,1001,61342
7322,2810,517,28332
19902,5068,617,81428
11771,5015,698,50282
18859,3311,865,83318
23417,3690,531,92325
26525,3096,322,97158
25489,4252,542,101305
31881,4150,191,114546
9968,1992,504,30065
774,155,39,3274
2067,671,279,5912
15287,5790,1304,64622
7665,2624,374,27728
15007,5576,849,65310
181,253,29,499
20535,1475,250,93086
20571,4719,458,91564
14056,4864,585,59965
19932,4462,803,86483
16811,5873,711,73661
24562,5831,75,104903
14961,5348,114,57983
18770,6631,293,83640
11935,2689,55,42747
25648,5807,117,115182
4708,2236,1371,18077
1244,1622,1510,10243
1243,1580,1465,10153
11228,2506,1626,40322
22217,3620,2162,66582
22092,3146,2240,64409
23241,3236,2002,71851
24412,3703,2139,74224
21727,3575,2251,65874
26363,3734,2222,81927
20669,2716,1663,65685
23306,3220,1491,74095
25482,2910,1768,73167
23357,3085,1443,74278
28304,3260,1554,90415
26224,3508,1596,85918
27359,3927,1617,88144
24578,2715,1215,88905
12265,2798,790,41674
6819,4366,1374,28132
10021,3376,1651,45560
16703,4893,1614,68751
17779,4365,823,81199
20347,4843,698,89805
17097,4863,403,76336
20993,6645,542,95519
24668,5526,222,108705
17675,6077,557,71814
20639,5726,612,91192
1053,881,357,3399
118,58,7,21
2274,532,207,9220
437,38,1,1769
438,35,0,1625
422,20,0,1604
1971,738,101,9557
830,475,38,3158
1821,813,65,5934
13081,991,514,50344
6966,445,274,35640
4406,444,315,18671
9375,689,367,45288
2020,235,90,9453
7996,391,209,35848
14535,639,402,68860
21440,369,214,102572
15075,619,341,75968
19894,729,352,100096
20187,644,302,100041
17834,665,353,84296
16032,713,324,77236
18502,755,321,94082
19681,789,282,105329
8897,498,197,43339
5116,349,117,23629
19382,665,246,95752
20633,727,263,103702
16573,707,293,82922
18693,801,293,103423
19412,786,287,99254
19852,804,271,101337
19408,796,242,104705
22013,797,238,109492
21124,701,262,108029
18948,718,220,96575
21724,783,239,114738
22198,765,230,114124
21583,868,226,111061
19850,1017,201,97282
22775,1091,253,112736
18946,900,188,94978
20348,1008,269,105519
19815,1058,298,99742
16927,969,243,86905
21034,960,271,107832
16385,843,232,87023
20306,988,260,105058
18757,943,221,94836
20353,1005,234,109201
21052,1002,224,108835
21490,1020,239,109440
21658,1001,202,109381
23943,1063,228,121354
21987,986,208,112621
20364,1014,203,102697
22867,1079,207,118232
22980,1077,206,115568
22656,1082,204,113289
23131,1080,198,120990
21909,1076,188,122854
22567,1094,224,117551
21838,1064,221,112649
19753,1055,230,102367
7053,907,847,28854
6525,807,714,24581
6141,771,754,24280
2431,305,284,9667
4647,588,540,16727
1924,266,219,6550
1142,143,126,4328
883,136,105,2909
9684,835,699,45473
10062,737,502,41315
12428,691,523,57976
14791,644,538,61794
12380,754,499,51846
1163,139,66,5546
3296,261,147,16358
2871,260,112,14100
7733,477,272,37704
11783,529,424,49741
3349,327,143,17597
2825,255,136,14875
6373,539,290,36754
8400,596,341,45628
2504,218,95,10870
5314,481,239,28571
7754,436,246,36757
8212,488,234,44819
12894,791,472,72294
12720,778,562,73960
12701,684,444,75522
13268,711,483,78601
13211,724,481,76658
13841,727,484,80533
10404,567,379,57288
12696,792,537,69478
13476,814,506,74449
13479,774,503,74220
11533,655,377,61192
9832,582,365,52662
13676,773,513,74489
9404,542,302,52029
12954,758,450,70080
12203,674,435,68547
12601,759,471,67212
12833,606,369,69146
14467,774,519,78619
13509,777,482,77442
11390,753,410,61538
10578,627,392,56995
13350,807,523,73920
11614,661,393,63879
14317,905,552,78128
16492,680,502,78193
19024,700,500,88770
14796,882,547,75065
14257,787,473,83185
13855,768,501,80236
13412,840,514,74714
13754,805,471,75492
13964,710,403,78591
15309,731,437,88679
14076,641,369,83861
14984,704,383,87969
15859,741,414,91785
14847,773,445,82152
15079,693,361,85009
13893,665,356,80759
16629,761,402,95355
17607,919,467,93886
15692,736,400,89115
16700,754,393,97104
16562,699,373,100599
15693,776,418,88370
15505,718,337,90530
15954,760,385,90468
14449,664,383,94027
15564,622,366,99508
15825,646,376,95710
17225,735,373,104568
14011,705,389,72740
15813,670,381,97691
15100,663,367,94550
15654,689,379,97168
16700,703,353,102288
16320,692,356,101605
16293,600,325,104963
17235,612,319,110899
16909,608,299,107930
17173,639,344,109776
17864,640,320,114887
17032,621,315,108528
18578,606,305,117000
19222,591,283,119226
19430,573,282,119017
19942,613,279,123135
20036,644,306,121844
17104,917,481,92580
13455,638,252,74784
17909,823,332,102370
17597,796,352,100750
17286,840,357,98411
17835,807,349,102166
17810,788,361,103155
17342,777,338,98518
17955,762,342,103194
15053,681,304,86531
17686,824,413,94687
17007,753,397,89461
14361,815,412,75691
10076,528,266,53238
10521,551,277,58568
10026,686,383,57644
8118,470,252,44433
12390,555,325,65426
13026,730,380,71301
11660,734,368,64766
17130,889,382,95512
14280,772,366,81760
12284,734,406,67706
15691,822,424,90916
15508,814,349,84854
16968,842,411,98245
14231,745,348,86886
14245,688,353,82096
17792,838,401,101460
12569,759,400,68746
16493,820,400,94095
14099,757,338,80191
12592,781,442,66417
16039,802,365,87230
13830,744,383,75914
15004,836,400,83171
14761,808,516,83382
14423,840,510,78953
19151,1218,1011,87982
19844,1451,849,90204
17555,1381,635,79643
19418,1152,380,100069
16910,678,335,95289
15672,745,353,88565
18854,707,362,108375
19594,689,343,114333
20028,683,328,113405
20363,735,371,116811
19721,723,352,111365
18727,680,338,106282
20082,755,356,115221
21586,495,275,125012
19363,727,342,110318
17527,785,347,92964
17449,835,438,98584
3226,179,74,11861
17458,866,447,98936
17272,817,371,97127
17955,736,349,102253
18001,669,348,110803
19902,788,387,112551
20091,708,333,117547
19700,821,376,110297
19961,768,370,115350
15793,690,335,90929
19039,788,392,110219
16797,717,316,98662
18964,795,382,105877
20571,847,351,115888
19315,769,373,109794
21510,921,398,124539
16757,914,409,93728
21254,736,332,123360
20904,689,322,119825
18811,768,365,109396
18196,648,326,111620
18541,657,317,114549
20460,801,341,114906
21802,747,321,124480
16096,575,294,99877
20180,685,332,118727
21255,744,344,121936
19787,795,346,112938
16577,658,314,92290
11126,492,270,63750
20418,761,295,117515
17684,637,299,100724
20792,663,281,119835
21415,750,318,123447
17167,722,339,106550
18757,599,318,117494
19497,612,302,121523
19220,648,324,116550
19604,673,308,121813
20057,718,322,116936
21912,769,321,127846
20913,779,376,120031
19930,697,322,116141
22279,695,310,129674
16399,699,333,101375
19722,833,383,112743
18741,704,306,107827
19628,647,322,120655
20511,770,337,118042
21403,771,339,120584
20760,716,335,122838
19204,682,335,114316
19824,685,326,117201
20684,783,322,118574
19938,678,305,112620
20166,734,352,115152
21605,779,334,126306
18154,666,338,102057
17780,690,322,101190
20620,748,333,117705
21339,791,347,122305
21418,751,321,122241
16046,658,328,94402
19278,650,325,120922
20863,675,305,128127
20699,768,370,118765
21484,797,340,123639
20890,757,340,120160
20026,776,348,113989
21845,623,293,127147
19834,693,341,117651
18722,682,309,106338
21411,764,344,122920
18972,618,338,117037
21384,758,332,121528
19043,624,330,116634
20541,715,333,121533
20416,674,339,122754
18088,689,304,103224
18660,622,311,116235
20785,789,330,120787
20516,753,367,115124
18665,634,280,108409
19887,730,352,117642
21011,776,346,122616
18622,619,269,107888
20351,793,370,115293
5931,235,91,27630
20906,786,335,119193
22163,678,303,127089
16998,681,326,99097
19164,605,309,120689
19836,621,336,123106
19947,645,335,122755
19633,674,317,121416
20824,778,333,119699
20434,748,351,117730
21229,791,334,121611
22949,657,286,134919
20646,802,379,118748
17171,684,313,103452
18788,600,314,118557
20430,740,340,121217
20834,757,339,118352
20762,778,335,118553
22142,655,299,128930
17435,644,323,101332
20499,701,318,123180
21654,786,337,123955
22248,725,325,127358
18056,665,311,105890
21976,705,288,130570
20547,812,367,114746
21392,756,343,122262
18947,676,297,107609
20409,738,345,116608
17763,652,308,101686
17482,683,364,107711
19465,667,349,120020
